Fiscal Year,Service (Cabinet),Department,Program #,Program,Expense Type,ACCT #,Expense Category (Account),Fund,Amount
2015,Public Safety,Fire Department,221600,Fire Prevention,Supplies & Materials,53700,Clothing Allowance,General Fund,$37950.00
2015,Public Safety,Fire Department,221600,Fire Prevention,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$25734.00
2015,Public Safety,Fire Department,221600,Fire Prevention,Current Charges & Obligations,54900,Current Charges,General Fund,$164175.00
2015,Public Safety,Fire Department,221600,Fire Prevention,Equipment,55900,Misc Equipment,General Fund,$2555.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Personnel Services,51000,Permanent Employees,General Fund,$0.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Personnel Services,51200,Overtime,General Fund,$0.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Contractual Services,52900,Contracted Services,General Fund,$0.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Supplies & Materials,53700,Clothing Allowance,General Fund,$0.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2015,Public Safety,Fire Department,221700,"Firefighter Safety, Health and Wellness",Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Personnel Services,51000,Permanent Employees,General Fund,$256231.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Personnel Services,51600,Unemployment Compensation,General Fund,$4718.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Contractual Services,52100,Communications,General Fund,$40953.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$5780.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Contractual Services,52900,Contracted Services,General Fund,$149599.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$0.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Supplies & Materials,53200,Food Supplies,General Fund,$3562.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$1387.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$1869.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Current Charges & Obligations,54900,Current Charges,General Fund,$186.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Equipment,55600,Office Furniture & Equipment,General Fund,$363.00
2015,Public Safety,Emergency Management,231100,Homeland Security,Equipment,55900,Misc Equipment,General Fund,$1.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Personnel Services,51000,Permanent Employees,General Fund,$756802.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Personnel Services,51100,Emergency Employees,General Fund,$12105.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Personnel Services,51200,Overtime,General Fund,$-2070.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Personnel Services,51600,Unemployment Compensation,General Fund,$80118.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Personnel Services,51700,Workers' Compensation,General Fund,$677663.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Contractual Services,52100,Communications,General Fund,$171151.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$0.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$5707.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Contractual Services,52800,Transportation of Persons,General Fund,$175.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Contractual Services,52900,Contracted Services,General Fund,$310310.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$0.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$20163.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$19603.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$0.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Current Charges & Obligations,54400,Legal Liability Premium,General Fund,$115000.00
2015,Streets,Transportation Department,251100,Traffic Commissioner's Office,Current Charges & Obligations,54900,Current Charges,General Fund,$18683.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Personnel Services,51000,Permanent Employees,General Fund,$1304652.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Personnel Services,51200,Overtime,General Fund,$77626.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Contractual Services,52100,Communications,General Fund,$0.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$1615.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Contractual Services,52900,Contracted Services,General Fund,$1231048.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$167082.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2015,Streets,Transportation Department,251200,Traffic Management & Engineering,Equipment,55400,Lease Purchase,General Fund,$94191.00
2015,Streets,Transportation Department,251300,Policy & Planning,Personnel Services,51000,Permanent Employees,General Fund,$563673.00
2015,Streets,Transportation Department,251300,Policy & Planning,Personnel Services,51200,Overtime,General Fund,$17007.00
2015,Streets,Transportation Department,251300,Policy & Planning,Contractual Services,52800,Transportation of Persons,General Fund,$875.00
2015,Streets,Transportation Department,251300,Policy & Planning,Contractual Services,52900,Contracted Services,General Fund,$0.00
2015,Streets,Transportation Department,251300,Policy & Planning,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Personnel Services,51000,Permanent Employees,General Fund,$11155490.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Personnel Services,51200,Overtime,General Fund,$497428.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Contractual Services,52100,Communications,General Fund,$0.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Contractual Services,52200,Utilities,General Fund,$165893.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$17818.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$484207.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Contractual Services,52800,Transportation of Persons,General Fund,$1519.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Contractual Services,52900,Contracted Services,General Fund,$227772.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$146223.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Supplies & Materials,53400,Custodial Supplies,General Fund,$2615.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$5120.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Supplies & Materials,53700,Clothing Allowance,General Fund,$7880.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$7695.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$281135.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Current Charges & Obligations,54900,Current Charges,General Fund,$1418.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Equipment,55400,Lease Purchase,General Fund,$354024.00
2015,Streets,Transportation Department,251400,Traffic Enforcement,Equipment,55900,Misc Equipment,General Fund,$5314.00
2015,Streets,Transportation Department,251500,Traffic Operations,Personnel Services,51000,Permanent Employees,General Fund,$2729692.00
2015,Streets,Transportation Department,251500,Traffic Operations,Personnel Services,51200,Overtime,General Fund,$228995.00
2015,Streets,Transportation Department,251500,Traffic Operations,Contractual Services,52100,Communications,General Fund,$1449.00
2015,Streets,Transportation Department,251500,Traffic Operations,Contractual Services,52200,Utilities,General Fund,$927.00
2015,Streets,Transportation Department,251500,Traffic Operations,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$5589.00
2015,Streets,Transportation Department,251500,Traffic Operations,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$150060.00
2015,Streets,Transportation Department,251500,Traffic Operations,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Streets,Transportation Department,251500,Traffic Operations,Contractual Services,52900,Contracted Services,General Fund,$621725.00
2015,Streets,Transportation Department,251500,Traffic Operations,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$161116.00
2015,Streets,Transportation Department,251500,Traffic Operations,Supplies & Materials,53400,Custodial Supplies,General Fund,$1284.00
2015,Streets,Transportation Department,251500,Traffic Operations,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$4407.00
2015,Streets,Transportation Department,251500,Traffic Operations,Supplies & Materials,53700,Clothing Allowance,General Fund,$7196.00
2015,Streets,Transportation Department,251500,Traffic Operations,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$360225.00
2015,Streets,Transportation Department,251500,Traffic Operations,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$0.00
2015,Streets,Transportation Department,251500,Traffic Operations,Current Charges & Obligations,54900,Current Charges,General Fund,$754.00
2015,Streets,Transportation Department,251500,Traffic Operations,Equipment,55400,Lease Purchase,General Fund,$215322.00
2015,Streets,Transportation Department,251500,Traffic Operations,Equipment,55600,Office Furniture & Equipment,General Fund,$634.00
2015,Streets,Transportation Department,251500,Traffic Operations,Equipment,55900,Misc Equipment,General Fund,$11062.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Personnel Services,51000,Permanent Employees,General Fund,$2804727.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Personnel Services,51200,Overtime,General Fund,$15191.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Contractual Services,52100,Communications,General Fund,$7867.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$8858.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Contractual Services,52800,Transportation of Persons,General Fund,$6800.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Contractual Services,52900,Contracted Services,General Fund,$4677506.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$225247.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$1898.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Current Charges & Obligations,54900,Current Charges,General Fund,$2214.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Equipment,55600,Office Furniture & Equipment,General Fund,$919.00
2015,Streets,Office of the Parking Clerk,253100,Parking Clerk,Equipment,55900,Misc Equipment,General Fund,$651.00
2015,Streets,Office of Streets,310100,Admin & Finance,Personnel Services,51000,Permanent Employees,General Fund,$1280121.00
2015,Streets,Office of Streets,310100,Admin & Finance,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Streets,Office of Streets,310100,Admin & Finance,Personnel Services,51200,Overtime,General Fund,$23365.00
2015,Streets,Office of Streets,310100,Admin & Finance,Personnel Services,51600,Unemployment Compensation,General Fund,$16722.00
2015,Streets,Office of Streets,310100,Admin & Finance,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$6468.00
2015,Streets,Office of Streets,310100,Admin & Finance,Contractual Services,52800,Transportation of Persons,General Fund,$2106.00
2015,Streets,Office of Streets,310100,Admin & Finance,Contractual Services,52900,Contracted Services,General Fund,$0.00
2015,Streets,Office of Streets,310100,Admin & Finance,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$239.00
2015,Streets,Office of Streets,310100,Admin & Finance,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$4767.00
2015,Streets,Office of Streets,310100,Admin & Finance,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2015,Streets,Office of Streets,310100,Admin & Finance,Equipment,55400,Lease Purchase,General Fund,$25438.00
2015,Streets,Office of Streets,310100,Admin & Finance,Equipment,55900,Misc Equipment,General Fund,$1196.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Personnel Services,51000,Permanent Employees,General Fund,$816984.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Personnel Services,51100,Emergency Employees,General Fund,$22645.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Personnel Services,51200,Overtime,General Fund,$431671.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Personnel Services,51600,Unemployment Compensation,General Fund,$134313.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Personnel Services,51700,Workers' Compensation,General Fund,$921920.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Contractual Services,52100,Communications,General Fund,$504665.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$16214.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Contractual Services,52800,Transportation of Persons,General Fund,$3034.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Contractual Services,52900,Contracted Services,General Fund,$38233.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$2760.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$37830.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$18847.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$288386.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Current Charges & Obligations,54400,Legal Liability Premium,General Fund,$275000.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Current Charges & Obligations,54900,Current Charges,General Fund,$31833.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Equipment,55400,Lease Purchase,General Fund,$21639.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Equipment,55600,Office Furniture & Equipment,General Fund,$1925.00
2015,Streets,Public Works Department,311100,Commissioner's Office,Equipment,55900,Misc Equipment,General Fund,$3167.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Personnel Services,51000,Permanent Employees,General Fund,$622815.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Personnel Services,51200,Overtime,General Fund,$33818.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Contractual Services,52100,Communications,General Fund,$35234.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Contractual Services,52200,Utilities,General Fund,$931306.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$518014.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$49176.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Contractual Services,52900,Contracted Services,General Fund,$1022879.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$10953.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Supplies & Materials,53400,Custodial Supplies,General Fund,$10073.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$345.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$36472.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Current Charges & Obligations,54900,Current Charges,General Fund,$62219.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Equipment,55400,Lease Purchase,General Fund,$15487.00
2015,Streets,Public Works Department,311200,Building/Facility Maintenance,Equipment,55900,Misc Equipment,General Fund,$351.00
2015,Streets,Public Works Department,311300,Engineering,Personnel Services,51000,Permanent Employees,General Fund,$1208114.00
2015,Streets,Public Works Department,311300,Engineering,Personnel Services,51100,Emergency Employees,General Fund,$15401.00
2015,Streets,Public Works Department,311300,Engineering,Personnel Services,51200,Overtime,General Fund,$16234.00
2015,Streets,Public Works Department,311300,Engineering,Contractual Services,52100,Communications,General Fund,$0.00
2015,Streets,Public Works Department,311300,Engineering,Contractual Services,52200,Utilities,General Fund,$0.00
2015,Streets,Public Works Department,311300,Engineering,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$4808.00
2015,Streets,Public Works Department,311300,Engineering,Contractual Services,52800,Transportation of Persons,General Fund,$4117.00
2015,Streets,Public Works Department,311300,Engineering,Contractual Services,52900,Contracted Services,General Fund,$977422.00
2015,Streets,Public Works Department,311300,Engineering,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$3021.00
2015,Streets,Public Works Department,311300,Engineering,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$8631.00
2015,Streets,Public Works Department,311300,Engineering,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$5207.00
2015,Streets,Public Works Department,311300,Engineering,Current Charges & Obligations,54900,Current Charges,General Fund,$3608.00
2015,Streets,Public Works Department,311300,Engineering,Equipment,55400,Lease Purchase,General Fund,$46946.00
2015,Streets,Public Works Department,311300,Engineering,Equipment,55600,Office Furniture & Equipment,General Fund,$0.00
2015,Streets,Public Works Department,311300,Engineering,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Streets,Public Works Department,311400,Construction Management,Personnel Services,51000,Permanent Employees,General Fund,$1691177.00
2015,Streets,Public Works Department,311400,Construction Management,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Streets,Public Works Department,311400,Construction Management,Personnel Services,51200,Overtime,General Fund,$271853.00
2015,Streets,Public Works Department,311400,Construction Management,Contractual Services,52100,Communications,General Fund,$0.00
2015,Streets,Public Works Department,311400,Construction Management,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$24373.00
2015,Streets,Public Works Department,311400,Construction Management,Contractual Services,52800,Transportation of Persons,General Fund,$4277.00
2015,Streets,Public Works Department,311400,Construction Management,Contractual Services,52900,Contracted Services,General Fund,$235845.00
2015,Streets,Public Works Department,311400,Construction Management,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$10049.00
2015,Streets,Public Works Department,311400,Construction Management,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$0.00
2015,Streets,Public Works Department,311400,Construction Management,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$5274.00
2015,Streets,Public Works Department,311400,Construction Management,Current Charges & Obligations,54900,Current Charges,General Fund,$2584.00
2015,Streets,Public Works Department,311400,Construction Management,Equipment,55400,Lease Purchase,General Fund,$79340.00
2015,Streets,Public Works Department,311400,Construction Management,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Personnel Services,51000,Permanent Employees,General Fund,$7856235.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Personnel Services,51100,Emergency Employees,General Fund,$411480.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Personnel Services,51200,Overtime,General Fund,$785519.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Contractual Services,52100,Communications,General Fund,$15799.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Contractual Services,52200,Utilities,General Fund,$0.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$1107606.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Contractual Services,52800,Transportation of Persons,General Fund,$150.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Contractual Services,52900,Contracted Services,General Fund,$5003465.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$633190.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Supplies & Materials,53400,Custodial Supplies,General Fund,$4838.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$5773.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Supplies & Materials,53700,Clothing Allowance,General Fund,$0.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$483536.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$2238.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Current Charges & Obligations,54900,Current Charges,General Fund,$28026.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Equipment,55000,Automotive Equipment,General Fund,$0.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Equipment,55400,Lease Purchase,General Fund,$1677919.00
2015,Streets,Public Works Department,311500,Highway Field Operations,Equipment,55900,Misc Equipment,General Fund,$525.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Personnel Services,51000,Permanent Employees,General Fund,$963971.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Personnel Services,51200,Overtime,General Fund,$57656.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Contractual Services,52100,Communications,General Fund,$0.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Contractual Services,52200,Utilities,General Fund,$6429.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$623109.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$2840.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Contractual Services,52800,Transportation of Persons,General Fund,$175.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Contractual Services,52900,Contracted Services,General Fund,$300842.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$1743.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$6.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$40.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Current Charges & Obligations,54900,Current Charges,General Fund,$224.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Equipment,55400,Lease Purchase,General Fund,$14624.00
2015,Streets,Public Works Department,311600,Bridge Operations/Maintenance,Equipment,55900,Misc Equipment,General Fund,$789.00
2015,Streets,Public Works Department,311700,Street Lights,Personnel Services,51000,Permanent Employees,General Fund,$3234223.00
2015,Streets,Public Works Department,311700,Street Lights,Personnel Services,51200,Overtime,General Fund,$345281.00
2015,Streets,Public Works Department,311700,Street Lights,Contractual Services,52100,Communications,General Fund,$0.00
2015,Streets,Public Works Department,311700,Street Lights,Contractual Services,52200,Utilities,General Fund,$5768705.00
2015,Streets,Public Works Department,311700,Street Lights,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$239591.00
2015,Streets,Public Works Department,311700,Street Lights,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Streets,Public Works Department,311700,Street Lights,Contractual Services,52900,Contracted Services,General Fund,$853966.00
2015,Streets,Public Works Department,311700,Street Lights,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$96385.00
2015,Streets,Public Works Department,311700,Street Lights,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$4863.00
2015,Streets,Public Works Department,311700,Street Lights,Supplies & Materials,53700,Clothing Allowance,General Fund,$2180.00
2015,Streets,Public Works Department,311700,Street Lights,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$983104.00
2015,Streets,Public Works Department,311700,Street Lights,Current Charges & Obligations,54900,Current Charges,General Fund,$1697.00
2015,Streets,Public Works Department,311700,Street Lights,Equipment,55400,Lease Purchase,General Fund,$257194.00
2015,Streets,Public Works Department,311700,Street Lights,Equipment,55600,Office Furniture & Equipment,General Fund,$0.00
2015,Streets,Public Works Department,311700,Street Lights,Equipment,55900,Misc Equipment,General Fund,$10908.00
2015,Streets,Public Works Department,311700,Street Lights,Structures & Improvements,57200,Structures & Improvements,General Fund,$349575.00
2015,Streets,Public Works Department,311800,Waste Reduction,Personnel Services,51000,Permanent Employees,General Fund,$1876949.00
2015,Streets,Public Works Department,311800,Waste Reduction,Personnel Services,51200,Overtime,General Fund,$200005.00
2015,Streets,Public Works Department,311800,Waste Reduction,Contractual Services,52100,Communications,General Fund,$0.00
2015,Streets,Public Works Department,311800,Waste Reduction,Contractual Services,52500,Garbage/Waste Removal,General Fund,$35956639.00
2016,Education,Boston Public Schools,101121,Literacy,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Streets,Public Works Department,311800,Waste Reduction,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$82150.00
2015,Streets,Public Works Department,311800,Waste Reduction,Contractual Services,52900,Contracted Services,General Fund,$140962.00
2015,Streets,Public Works Department,311800,Waste Reduction,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$37279.00
2015,Streets,Public Works Department,311800,Waste Reduction,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$41552.00
2015,Streets,Public Works Department,311800,Waste Reduction,Supplies & Materials,53700,Clothing Allowance,General Fund,$2250.00
2015,Streets,Public Works Department,311800,Waste Reduction,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$146389.00
2015,Streets,Public Works Department,311800,Waste Reduction,Current Charges & Obligations,54900,Current Charges,General Fund,$32.00
2015,Streets,Public Works Department,311800,Waste Reduction,Equipment,55400,Lease Purchase,General Fund,$13766.00
2015,Streets,Public Works Department,311800,Waste Reduction,Equipment,55900,Misc Equipment,General Fund,$5615.00
2015,Streets,Central Fleet Management,321100,Fleet Services,Personnel Services,51000,Permanent Employees,General Fund,$1631480.00
2015,Streets,Central Fleet Management,321100,Fleet Services,Personnel Services,51200,Overtime,General Fund,$83001.00
2015,Streets,Central Fleet Management,321100,Fleet Services,Personnel Services,51600,Unemployment Compensation,General Fund,$0.00
2015,Streets,Central Fleet Management,321100,Fleet Services,Contractual Services,52100,Communications,General Fund,$5969.00
2015,Streets,Central Fleet Management,321100,Fleet Services,Contractual Services,52500,Garbage/Waste Removal,General Fund,$0.00
2015,Streets,Central Fleet Management,321100,Fleet Services,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$319986.00
2015,Streets,Central Fleet Management,321100,Fleet Services,Contractual Services,52800,Transportation of Persons,General Fund,$1912.00
2015,Streets,Central Fleet Management,321100,Fleet Services,Contractual Services,52900,Contracted Services,General Fund,$60107.00
